Rowid,Country,State lgd code,State,District lgd code,District,Year,Households that applied for a job card,Job cards issued,Job cards issued for scheduled caste,Job cards issued for scheduled tribes,Job cards issued for non scheduled tribes or scheduled caste,Households that demanded work,Persons who demanded work,Households that were allotted work,Persons that were allotted work,Muster rolls filled,Households that worked under mahatma gandhi national rural employment guarantee act (mgnrega),Persons that worked under mahatma gandhi national rural employment guarantee act (mgnrega),Households that reached a 100 day limit,Persons with disability,Non scheduled tribes or scheduled caste houeholds that worked,Total person days worked by non scheduled tribes or scheduled caste persons.,Scheduled caste houeholds that worked,Total person days worked scheduled caste persons,Scheduled tribe houeholds that worked,Total person days worked scheduled tribe persons,Households that worked on land reform or indira awas yojana,Total person days worked by women,Total person days,Scheduled caste households that reached a 100 day limit,Scheduled tribe households that reached a 100 day limit,Labour expenditure that has been disbursed,Material expenditure that has been disbursed,Labour expenditure both disbursed and pending,Material expenditure both disbursed and pending,Amount sanctioned,Works under mahatma gandhi national rural employment guarantee act (mgnrega),Total bank accounts,Individual bank accounts,Joint bank accounts,Amount disbursed to bank accounts,Post office accounts,Individual post office accounts,Joint post office accounts,Amount disbursed to post office accounts
487,India,3,Punjab,43,Sangrur,2017-18,66004.42441747420578896266,65466.98398773780804239935,50187.03655759623337543966,27.38739790317484196471,15252.56003223839982499498,39434.29150437482359568508,47967.91712749574212651532,39398.62238357533279069241,47941.26992953589633433344,8686.24633496639920151005,34065.77271615391852467174,39377.89678516211939677317,460.40436475066896492026,67.35819484294353023753,6283.55731892030360644387,171265.24228764555160185691,27768.81335967635713604004,772910.85922464715083282336,11.84319909326479652528,337.53117415804670097048,9.62498196757299212842,613415.53623587681982774628,944513.63268645074913565075,369.35977172119584163217,0.00000000000000000000,2199.00819764024096632484890,773.33129279245805110947080,2203.22733731721655008697990,776.61778054083903214523600,1369004.90256668654378758652700,16905.42650569216799005437,69149.47870579983071197860,65323.38519873197238453033,3826.09350706785832744827,220153664.66266586674780178970,2346.43382035308781157110,2225.04102964712364718698,121.39279070596416438412,1379.73269436534879519512
488,India,3,Punjab,43,Sangrur,2018-19,69680.42714585881393647076,68441.84755997725911959312,51945.75162294605565944374,39.97079693976868827282,16456.12514009143477187656,40861.00998526045096733626,50846.55470710241673194119,40839.79167323699271786242,50830.27030834917763671893,9814.31104859987107054297,31062.03795904287013505636,35535.51887934102197410264,125.83399036593846308110,67.35819484294353023753,5732.10836114016151823552,123055.27977868121019635618,25314.44295794524414329294,560886.50705758747293943250,14.06379892325194587377,223.54038288537303441466,12.58651488067237432178,430093.17707134437631337150,684165.32721915405617020334,96.96619257610552155073,0.00000000000000000000,1594.41288392907310370930490,553.04038765829954524143450,1596.23377578966256617506670,579.16944565781500257533350,202235.77046848992459329906080,22198.59630043820298707170,77296.11928207935262180558,73574.39396702089031373634,3721.72531505846230806924,161148814.19097626888815317852,2068.85884160469414300985,1965.23084953862717341365,103.62799206606696959620,0.00000000000000000000
489,India,3,Punjab,43,Sangrur,2019-20,73980.57293567911688122948,72025.89568557651816805598,54167.09165287653405771657,48.85319625971728566678,17809.95083644026682467263,38134.17855552419481280004,45112.22574613226806435718,38111.41468212611521835104,45094.46094749237086956926,15496.08581359365720354605,33409.79317590240536884250,38283.88126892178381775043,287.93777795500036552087,72.53959444624687871734,6413.83250894621636822195,164202.25442839975857409305,26968.45908991124909828450,703735.47352083080337844571,25.90699801651674239905,396.00696968104163381405,0.00000000000000000000,547403.76508984883114518405,868333.73491891160358635281,0.00000000000000000000,0.00000000000000000000,2179.63716512331973350818780,1111.35840091253521543444690,2180.71045504114685569329130,1220.04195859153959504737580,12427.56474252478145733080010,24440.66192878189477926377,86620.41796819539273611509,82654.42667183834399971195,3965.99129635704873640314,212261208.74692554053339863170,1894.17165497903839426197,1803.86726189289432075671,90.30439308614407350526,0.00000000000000000000
490,India,3,Punjab,43,Sangrur,2020-21,80014.69624611910810020048,76525.57114107381179787955,56515.00587311627996885333,54.03459586302063414659,19956.53067209451119487963,47542.96862044093204110476,57972.45956153117899124560,47523.79716149831225681732,57964.31736215455944363447,24632.37371410411867301674,42661.62199642487534089914,49939.06957658100169819161,641.01315092295711193078,105.10839195272506916186,9134.80750062380336990503,289696.49302035018780487408,33500.11992975193652573998,1077884.33887536559710552581,24.42659812985864283339,699.48894644595204477435,0.00000000000000000000,880302.02780259900952493108,1368280.32084216173695517424,0.00000000000000000000,0.00000000000000000000,3559.20701550113613775108520,903.95437679173546628548090,3564.21816911747380478084430,2190.71055627552231825932460,19357.73852593904308256147320,45075.95594890914462499851,87016.42493787643436992914,83040.07084231277893656638,3976.35409556365543336276,352462846.41185280777887143255,1893.43145503570934447914,1803.12706194956527097388,90.30439308614407350526,3893.45170191080185768580
491,India,3,Punjab,605,Barnala,2011-12,25709,25479,21115,0,4364,7718,8784,7718,8784,2298,7715,8775,44,28,702,19826,7013,195755,0,0,1,127643,215581,37,0,281.950,138.780,281.950,139.050,3402.170,1546,7199,6213,986,11112532,3221,2926,295,5922452
492,India,3,Punjab,605,Barnala,2012-13,24693,24315,20029,0,4286,7019,8114,7004,8099,1470,6844,7910,19,14,550,10287,6294,123199,0,0,1,87307,133486,18,0,221.370,82.130,224.320,82.640,636.930,1307,18043,16233,1810,18162964,887,863,24,624038
493,India,3,Punjab,605,Barnala,2013-14,28169,26991,22352,0,4639,14470,17623,14469,17621,1552,13651,16302,193,65,1141,30430,12510,353792,0,0,1,247167,384222,178,0,486.920,101.720,487.510,101.720,2545.610,3736,21651,19269,2382,49245010,419,407,12,458534
494,India,3,Punjab,605,Barnala,2014-15,27497,26713,22224,0,4489,13724,17089,13723,17087,1145,12431,15039,199,44,1060,27236,11371,307100,0,0,0,214745,334336,189,0,570.530,93.660,571.600,93.660,2026710.640,3950,24437,22307,2130,56036656,51,51,0,6440
495,India,3,Punjab,605,Barnala,2015-16,23502,23046,20469,2,2575,17219,21631,17186,21577,1917,15962,19267,145,93,1444,40135,14516,405407,2,28,4,293100,445570,134,0,894.080,66.590,894.950,66.590,1736842.210,5876,28866,26517,2349,88616300,36,36,0,0
496,India,3,Punjab,605,Barnala,2016-17,26249,25282,22583,4,2695,19211,24236,19204,24226,1983,17350,20925,44,85,1573,45063,15773,472410,4,60,1,344569,517533,43,0,1405.210,68.970,1406.690,68.970,1382088.620,7840,35253,32600,2653,135615548,29,29,0,3706
497,India,3,Punjab,605,Barnala,2017-18,31086,28148,25166,10,2972,22566,28607,22565,28605,3018,20146,24294,189,84,1785,62894,18357,677131,4,74,2,507182,740099,178,0,1751.780,176.550,1753.280,179.180,10832293.090,8859,37397,34692,2705,174833161,23,23,0,0
498,India,3,Punjab,605,Barnala,2018-19,32531,29534,26241,15,3278,19931,24503,19921,24484,2852,16986,19993,48,72,1574,44274,15405,405374,7,113,2,307177,449761,43,0,1029.970,441.180,1030.490,493.100,450335.570,8450,40609,38135,2474,103225996,22,22,0,0
499,India,3,Punjab,605,Barnala,2019-20,34119,31204,27386,16,3802,20851,25659,20851,25658,3642,17958,21134,57,64,1839,51893,16110,459010,9,335,0,349277,511238,0,0,1289.780,132.160,1291.320,252.770,6137.430,11800,45228,42841,2387,126359861,20,20,0,0
501,India,3,Punjab,608,S.A.S Nagar,2011-12,17485,17425,10960,7,6458,2902,3371,2899,3367,772,2879,3347,79,7,1034,41252,1845,54174,0,0,2,30599,95426,40,0,128.770,141.010,128.770,145.330,560.070,1230,7009,4845,2164,8237679,650,585,65,695211
502,India,3,Punjab,608,S.A.S Nagar,2012-13,17715,17615,10987,7,6621,1193,1324,1128,1259,325,1110,1240,82,0,580,27989,530,20401,0,0,1,9639,48390,29,0,79.660,128.080,80.480,128.570,485.380,687,9865,7363,2502,6189268,488,430,58,746149
503,India,3,Punjab,608,S.A.S Nagar,2013-14,20430,19991,11768,11,8212,4347,5021,4329,4995,1013,4022,4646,162,0,1943,83685,2075,54836,4,37,4,46114,138558,29,0,105.870,214.280,113.230,215.200,1449.450,1684,11591,8975,2616,9811742,456,402,54,22264
504,India,3,Punjab,608,S.A.S Nagar,2014-15,20997,20772,12159,1,8612,4333,4900,4324,4883,1044,3846,4360,34,0,1668,51779,2178,52241,0,0,2,44165,104020,13,0,233.280,72.390,235.790,74.590,1491.900,1386,15964,13284,2680,21888024,424,375,49,0
505,India,3,Punjab,608,S.A.S Nagar,2015-16,23586,23062,12154,1,10907,7633,8916,7630,8911,2393,7122,8200,307,28,3999,166213,3122,100614,1,42,2,134175,266869,110,0,324.020,102.040,326.600,103.390,496523.120,3040,19633,17369,2264,33558230,391,349,42,2520
506,India,3,Punjab,608,S.A.S Nagar,2016-17,26603,25691,12905,0,12786,9398,10780,9392,10766,2248,8805,9923,194,28,4845,167000,3960,134998,0,0,5,175131,301998,105,0,962.230,219.480,964.480,224.770,1975970.270,4599,23328,21191,2137,94418504,346,309,37,0
507,India,3,Punjab,608,S.A.S Nagar,2017-18,29563,27990,13823,0,14167,10383,11757,10364,11732,2659,9593,10694,335,16,5134,205390,4459,154172,0,0,64,247770,359562,140,0,835.120,170.320,835.670,173.360,1123712.500,6874,27740,26719,1021,82268100,291,291,0,0
508,India,3,Punjab,608,S.A.S Nagar,2018-19,31697,30163,14488,2,15673,10556,12460,10513,12406,6890,9342,10644,246,18,5101,174114,4240,121985,1,100,242,189821,296199,60,1,697.950,240.460,699.450,242.600,824388.000,10373,31114,30564,550,68644569,277,277,0,0
509,India,3,Punjab,608,S.A.S Nagar,2019-20,33256,31641,14585,2,17054,13757,16461,13741,16438,7018,11758,13074,169,21,6475,227152,5281,158556,2,109,0,255219,385817,0,0,955.800,20.980,959.180,42.770,6183.060,12587,35036,34490,546,92528550,266,266,0,0
510,India,3,Punjab,608,S.A.S Nagar,2020-21,36768,34532,15057,3,19472,15786,18120,15776,18108,20885,14669,16384,491,15,8523,398486,6143,258851,3,169,0,421080,657506,0,0,1728.640,322.060,1734.080,1010.230,12975.790,25977,35165,34618,547,170866750,266,266,0,0
511,India,3,Punjab,609,Tarn Taran,2011-12,57387,57335,45496,20,11819,11519,12297,11519,12297,4179,11514,12292,17,9,1519,36478,9991,207640,4,25,3,51921,244143,16,0,328.060,280.840,328.060,280.840,3917.660,3683,11254,10996,258,8667601,17693,17273,420,17659091
512,India,3,Punjab,609,Tarn Taran,2012-13,58294,58158,46207,0,11951,4846,5124,4838,5116,1973,4825,5102,82,8,574,18616,4251,102078,0,0,3,25309,120694,61,0,156.710,123.460,162.100,123.560,3563.890,3211,21116,20691,425,8716607,11183,10909,274,4620779
513,India,3,Punjab,609,Tarn Taran,2013-14,66561,64463,50015,1,14447,9588,10274,9557,10237,1313,9295,9932,22,10,1903,50555,7391,153143,1,5,3,46143,203703,18,0,207.220,188.470,210.200,188.500,1648.800,2506,23585,23044,541,19638556,9003,8765,238,985108
514,India,3,Punjab,609,Tarn Taran,2014-15,66682,65304,50528,3,14773,5590,6040,5536,5985,371,5060,5453,0,4,1037,18422,4023,48794,0,0,3,18666,67216,0,0,256.460,60.430,257.630,60.430,23161.910,1707,30645,29965,680,24412536,7622,7429,193,6448
515,India,3,Punjab,609,Tarn Taran,2015-16,72870,70248,53038,5,17205,13351,15250,13310,15197,2241,12407,13944,169,14,3558,123205,8849,209744,0,0,71,90768,332949,58,0,513.420,72.140,520.880,77.660,349626.070,3785,40066,38989,1077,49202620,6938,6777,161,10710
516,India,3,Punjab,609,Tarn Taran,2016-17,78776,75061,55619,6,19436,16931,19312,16892,19267,2912,15371,17198,79,17,4854,147868,10517,229220,0,0,42,116692,377088,62,0,1036.420,335.800,1040.780,355.130,1490674.340,6983,51944,50111,1833,101146400,6576,6425,151,50170
517,India,3,Punjab,609,Tarn Taran,2017-18,100187,84618,60388,20,24210,19753,22999,19589,22788,3508,17303,19775,351,26,5104,146254,12188,258969,11,284,46,143600,405507,250,0,900.380,553.370,907.830,611.580,1254459.140,9552,61223,57260,3963,88212306,5929,5795,134,10388
518,India,3,Punjab,609,Tarn Taran,2018-19,108228,92824,63097,22,29705,27254,40103,27040,39761,6523,16619,22835,282,21,6392,217239,10224,330220,3,47,41,202851,547506,174,0,1183.740,293.160,1199.480,412.280,1111453.360,15701,76389,67904,8485,116337602,5491,5364,127,0
519,India,3,Punjab,609,Tarn Taran,2019-20,121986,107073,67988,56,39029,29422,42395,29304,42199,7182,21653,30438,303,64,10434,424053,11190,333952,29,630,0,267659,758635,0,0,1971.900,304.150,1979.370,378.410,236828.140,20086,98919,80418,18501,196922407,5227,5103,124,0
520,India,3,Punjab,609,Tarn Taran,2020-21,139555,122116,73146,71,48899,47580,73518,47399,73234,19788,37511,56542,1079,75,19676,1038277,17786,757495,49,1974,0,634993,1797746,0,0,4446.670,1338.810,4516.350,3198.590,37632.400,41693,101526,82121,19405,445988985,5220,5096,124,10783
521,India,3,Punjab,651,Fazilka,2011-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0
522,India,3,Punjab,651,Fazilka,2012-13,65662,65656,42742,28,22886,28308,33592,28308,33592,5421,27657,32532,155,18,8731,249305,18916,506269,10,435,6,200990,756009,104,0,1219.680,647.300,1219.680,647.300,4102937.080,10337,45803,41404,4399,72843576,14073,10782,3291,14727156
523,India,3,Punjab,651,Fazilka,2013-14,79742,79742,49185,31,30526,48112,61342,48057,61275,14123,43086,52830,537,24,14639,441560,28434,886996,13,278,8,425474,1328834,363,0,1640.200,619.830,1662.060,621.860,269502.770,18360,57654,53342,4312,144908239,11038,8489,2549,3362354
524,India,3,Punjab,651,Fazilka,2014-15,80002,80002,49071,11,30920,31146,37790,30900,37495,4415,24522,28561,58,19,8955,158238,15563,272815,4,59,3,171102,431112,31,0,1039.180,312.550,1042.740,313.940,3818.290,13791,76527,72221,4306,96869597,9148,7119,2029,80648
525,India,3,Punjab,651,Fazilka,2015-16,86143,86142,50753,12,35377,52042,67903,51997,67833,15174,46869,58919,524,39,18040,555017,28820,873746,9,222,5,626656,1428985,313,0,1899.010,203.960,1904.390,211.050,816569.750,20526,99589,95078,4511,178702759,7730,6023,1707,7320
526,India,3,Punjab,651,Fazilka,2016-17,94068,94066,53992,13,40061,56723,75810,56668,75718,13289,51055,65753,226,62,20184,549036,30863,889611,8,159,8,658554,1438806,137,0,3957.380,270.000,3962.230,283.220,1936760.380,23357,125456,120819,4637,387311580,4584,3897,687,630
527,India,3,Punjab,651,Fazilka,2017-18,105022,104954,59315,17,45622,70398,98681,70393,98670,19049,61897,82527,424,105,25478,791135,36407,1165458,12,243,13,1005603,1956836,260,0,3947.890,265.090,3955.980,305.270,1570675.390,25438,148490,147719,771,393544635,2774,2773,1,840
528,India,3,Punjab,651,Fazilka,2018-19,112908,112896,62925,20,49951,70657,97912,70639,97878,17025,59896,78384,126,117,24936,561876,34950,766864,10,176,14,706408,1328916,61,0,2794.820,1438.320,2803.200,1528.780,413727.490,31657,169542,168162,1380,277460517,2258,2257,1,0
529,India,3,Punjab,651,Fazilka,2019-20,123749,123554,67458,34,56062,78995,113753,78962,113716,27079,66564,90958,111,164,27797,599859,38744,870128,23,440,0,751868,1470427,0,0,3321.600,567.050,3329.120,615.620,13773.300,34917,193215,190568,2647,329926249,1935,1934,1,0
530,India,3,Punjab,651,Fazilka,2020-21,134330,132901,70998,47,61856,89838,137093,89832,137082,48462,81131,119010,536,193,35593,1131628,45509,1500676,29,669,0,1423268,2632973,0,0,5744.020,1334.330,5838.940,3266.810,25726.110,46122,195817,193091,2726,565948970,1919,1918,1,0
531,India,3,Punjab,662,Pathankot,2011-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0
532,India,3,Punjab,662,Pathankot,2012-13,16631,16609,9265,3,7341,4815,5015,4813,5013,2151,4810,5010,50,7,2692,113407,2115,76641,3,58,35,16582,190106,10,0,275.030,127.960,275.060,128.050,2961830.190,7450,17462,12652,4810,25832090,70,64,6,62250
533,India,3,Punjab,662,Pathankot,2013-14,18729,18609,9947,5,8657,5766,5925,5766,5925,2384,5387,5510,163,11,2903,118941,2482,88760,2,62,37,16307,207763,38,0,243.070,122.750,243.820,123.820,303158.690,5183,17873,13313,4560,23803356,57,55,2,7912
534,India,3,Punjab,662,Pathankot,2014-15,19828,19784,10482,6,9296,4438,4526,4434,4522,2149,4004,4059,194,11,2352,101817,1651,52527,1,45,23,12139,154389,24,0,398.830,161.650,399.170,163.860,303839.760,6950,25474,20985,4489,40422144,54,52,2,0
535,India,3,Punjab,662,Pathankot,2015-16,21187,21128,11089,14,10025,6481,6701,6464,6682,3655,6030,6181,209,16,3250,164110,2771,123212,9,236,42,29680,287558,57,0,523.720,220.140,525.940,224.500,202236.870,7238,27015,22604,4411,51697836,41,40,1,0
536,India,3,Punjab,662,Pathankot,2016-17,23006,22929,11942,17,10970,6713,7031,6687,7002,3924,6191,6415,79,21,3399,183018,2785,132079,7,453,28,39054,315550,18,0,808.580,422.590,814.440,446.430,202891.620,7494,30788,26545,4243,79231489,32,32,0,0
537,India,3,Punjab,662,Pathankot,2017-18,29016,27748,14494,30,13224,9514,10182,9475,10140,4424,8504,9019,144,16,4407,218146,4078,191524,19,846,35,72853,410516,52,0,928.140,394.710,931.620,402.600,203858.090,9228,41462,41431,31,92788075,24,24,0,0
538,India,3,Punjab,662,Pathankot,2018-19,34158,31867,16241,32,15594,12242,13245,12211,13210,5728,10448,11167,134,16,5532,250393,4902,203797,14,870,41,103645,455060,48,0,997.350,320.080,1002.110,373.910,4647.730,10943,47306,47217,89,101139260,11,11,0,0
539,India,3,Punjab,662,Pathankot,2019-20,39128,36509,18319,44,18146,16069,17507,16040,17476,6920,13993,15082,203,29,7268,339336,6703,265212,22,805,0,143342,605353,0,0,1559.690,302.930,1580.480,440.430,8143.360,16667,54053,53889,164,156564685,10,10,0,0
540,India,3,Punjab,662,Pathankot,2020-21,45530,41405,20277,61,21067,22607,24777,22551,24715,15721,19606,21297,561,27,10603,550983,8964,421894,39,1845,0,226128,974722,0,0,2491.070,733.510,2520.250,1631.340,13991.880,29741,54298,54129,169,246645528,10,10,0,0
541,India,3,Punjab,737,Malerkotla,2011-12,12112.93971838053125110062,12110.57964171634437337955,9791.34453581477178470296,15.06840328691511259586,2304.16670261465747608073,3855.56867689026876160266,4396.59635904249052516791,3858.29064162028167519167,4396.59635904249052516791,966.45621081593480787240,3850.37634145576567256946,4389.58175751237486930432,26.23980572376597193417,3.37740073672235282321,555.45252116249156430946,12171.89245509068862463167,3290.64258161633267479050,68332.61090559332612005340,4.67640102007710390906,107.03762334843148947404,1.03846708690061780664,43236.96463140621894230008,80611.54098403244623415911,21.30360464701791780794,0.00000000000000000000,108.50289566805564869887880,54.84379196323759084458700,108.55745367995654824448450,54.84379196323759084458700,1396.69809466586191501677850,1000.74981829650023653884,4866.31486150356851781127,4199.40811602923931033588,666.90674547432920747539,4955351.45852538320863803504,3965.06846491204221444854,3416.11094516632440556833,548.95751974571780888021,3892306.00324015251617552093
542,India,3,Punjab,737,Malerkotla,2012-13,12636.32713017844262564718,12584.19514502748661928046,10126.22680886362661463509,15.58800340025701303020,2442.38033276360299161517,2960.92928152538652118230,3316.34772340467952217505,2959.64224559546487400064,3312.45072255461526891750,514.66391226515238021377,2933.66952049424530375800,3284.91191654749454589748,7.79400170012850651510,2.85780062338045238887,408.14588903006279117407,7774.25689582151429859508,2522.43655408160065232856,45573.60634110474519552706,3.37740073672235282321,39.22980855731348279267,1.29808385862577225830,29032.91613303535771896467,53387.09304548357297691481,7.01460153011565586359,0.00000000000000000000,87.11095900176960781710100,31.98918097789410024014210,87.20188902160444039311050,32.30613704703265950508950,1751.88114414298479491857230,2023.58264141003124153713,10149.34901390734118396322,9174.83900133460691935855,974.51001257273426460467,6007421.66041654960917620250,2370.67551712242073167625,2101.78245846798725690530,268.89305865443347477095,1550904.23690330111306955219
543,India,3,Punjab,737,Malerkotla,2013-14,15960.20065857559507025016,15477.06877605851728746841,12436.36891278171594571073,2.85780062338045238887,3037.84206265342088936881,7645.19469376234829248368,8736.29650567404295277559,7642.01866697600063805555,8723.82610295383734235143,1035.04342577706566520528,7199.95193025370840788678,8120.57037136389093808269,76.38121666125936384798,10.65180232350895890397,1214.56526493669226526975,32608.28451294097460765821,5984.94543857998557411798,154205.88243738252710255652,1.29900028335475108585,21.04380459034696759077,2.33655094552639006494,102014.90885281200892549239,186835.21075491384867780550,60.53341320433140060061,0.00000000000000000000,170.89387927758434335225430,126.15630951884671595558030,171.69146545156416051896620,128.37760000338334031238380,473356.31638260503912625252120,2225.96688555670146071256,11657.74814293887814485224,10417.46267239176180808266,1240.28547054711633676958,16586302.26481887952239005822,1809.50739471316826258905,1626.60815481681930970137,182.89923989634895288768,334915.52745610871155992776
544,India,3,Punjab,737,Malerkotla,2014-15,16430.36663216984978220642,16421.96158217076322731570,13058.33024845197076561571,2.85780062338045238887,3360.77353309541200931112,5204.01818923072098352470,5731.70885027450369120454,5206.91273579918425252114,5730.40984999114894011869,360.08287854593700099762,4337.15778844043026943196,4694.58702404407042426190,8.83320192681230738378,5.19600113341900434340,726.92055856531870764166,11795.18237291781080973517,3610.75006115344811368728,61781.49267657864544389468,0.00000000000000000000,0.00000000000000000000,1.29808385862577225830,44455.68669724964641104455,73576.67504949645625362985,7.53420164345755629793,0.00000000000000000000,286.29446645025372031699660,100.98688002856505891615070,286.64779452732621261234780,101.08560405010001999867530,1023083.57953022923943840031230,2972.89204848568333507631,14654.54179663828889990819,13098.33945717929709905989,1556.20233945899180084830,27649325.73062871525525476951,1377.71970052604900165251,1274.05947791433986500168,103.66022261170913665083,158041.57047407243610885440
556,India,5,Uttarakhand,45,Almora,2016-17,99475,98807,19726,54,79027,43184,58025,43155,57960,16176,35968,45900,1427,35,28606,921421,7337,254902,25,1043,31,662610,1177366,329,1,2626.530,158.480,2628.450,158.970,140271.090,49547,93356,89878,3478,248080393,7905,7679,226,2377561
545,India,3,Punjab,737,Malerkotla,2015-16,18333.87680245868222177754,18324.73719722880261786878,14545.42577283648980869679,4.41660096340615369189,3774.89482342890665548010,8758.17179414808542675010,10287.30284399961574928049,8763.31571156782177536127,10285.48424360291909776030,1638.81875748035396990836,7917.79230407376046672668,9040.00277192238375664732,85.73401870141357166610,7.27440158678660608076,1403.18010607980212293517,30528.32525923334716899519,6514.30403612757550105272,149827.99168242034499302485,1.29900028335475108585,15.84780345692796324737,2.59616771725154451660,109564.17889955648033601825,180372.16474511062012526741,69.10681507447275776722,0.00000000000000000000,252.20869901502505182429260,63.07945375970671272887600,252.93354117313700293019690,64.01992996485555251503140,575319.20287206925698025879040,3767.10082172877814896500,17769.02487600964010334215,16057.72190271809102284336,1711.30297329154908049879,24976450.52778658856001615834,1133.24784719868484729554,1056.86663053742548344756,76.38121666125936384798,16728.52564904248448357630
546,India,3,Punjab,737,Malerkotla,2016-17,19931.81803242700787174484,19909.25774286492799238861,15650.09561380137013210363,8.31360181347040694944,4250.84852725008745333554,10473.20018816445573441606,12347.51729340025097143859,10476.43728525606750738025,12341.28209204014816622651,1669.99476428086799596876,9298.17467933640668620290,10599.58251211809791031883,61.83241348768615168646,23.64180515705646976247,1572.82954308593261474718,34861.01080433478394073928,7722.56049173644431907836,165663.06493657143167975352,3.89700085006425325755,50.92081110750624256532,4.67310189105278012988,122671.09175860591879224475,200574.99655201372186305812,35.85240782059112996946,0.00000000000000000000,561.27983643362097768058310,131.07952059276122257095180,562.13198061950169439290070,133.57100313623563515361210,451941.82907139995976562436520,4740.31183401815766248382,21423.89207325656775848971,19661.14868874417053499126,1762.74338451239722349845,55787914.46218180741704038095,938.91740480881408485238,877.86439149114078381743,61.05301331767330103495,3950.00006162512710185268
547,India,3,Punjab,737,Malerkotla,2017-18,23144.57558252579421103734,22978.01601226219195760065,17614.96344240376662456034,9.61260209682515803529,5353.43996776160017500502,13827.70849562517640431492,16836.08287250425787348468,13828.37761642466720930759,16826.73007046410366566656,3048.75366503360079848995,11945.22728384608147532826,13821.10321483788060322683,161.59563524933103507974,23.64180515705646976247,2205.44268107969639355613,60111.75771235444839814309,9737.18664032364286395996,271281.14077535284916717664,4.15680090673520347472,118.46882584195329902952,3.37501803242700787158,215300.46376412318017225372,331511.36731354925086434925,129.64022827880415836783,0.00000000000000000000,771.82180235975903367515110,271.42870720754194889052920,773.30266268278344991302010,272.58221945916096785476400,480501.99743331345621241347300,5933.57349430783200994563,24270.52129420016928802140,22927.61480126802761546967,1342.90649293214167255173,77270925.33733413325219821030,823.56617964691218842890,780.95897035287635281302,42.60720929403583561588,484.26730563465120480488
548,India,3,Punjab,737,Malerkotla,2018-19,24433.57285414118606352924,24022.15244002274088040688,18232.24837705394434055626,14.02920306023131172718,5775.87485990856522812344,14327.99001473954903266374,17846.44529289758326805881,14334.20832676300728213758,17840.72969165082236328107,3444.68895140012892945703,10891.96204095712986494364,12472.48112065897802589736,44.16600963406153691890,23.64180515705646976247,2011.89163885983848176448,43190.72022131878980364382,8876.55704205475585670706,196863.49294241252706056750,4.93620107674805412623,78.45961711462696558534,4.41348511932762567822,150956.82292865562368662850,240132.67278084594382979666,34.03380742389447844927,0.00000000000000000000,559.61711607092689629069510,194.10961234170045475856550,560.25622421033743382493330,203.28055434218499742466650,70981.98953151007540670093920,7791.40369956179701292830,27129.88071792064737819442,25823.60603297910968626366,1306.27468494153769193076,56561029.80902373111184682148,726.14115839530585699015,689.76915046137282658635,36.37200793393303040380,0.00000000000000000000
549,India,3,Punjab,737,Malerkotla,2019-20,25941.42706432088311877052,25280.10431442348183194402,19011.90834712346594228343,17.14680374028271433322,6251.04916355973317532737,13371.82144447580518719996,15833.77425386773193564282,13376.58531787388478164896,15827.53905250762913043074,5438.91418640634279645395,11715.20682409759463115750,13437.11873107821618224957,101.06222204499963447913,25.46040555375312128266,2251.16749105378363177805,57632.74557160024142590695,9456.54091008875090171550,247001.52647916919662155429,9.09300198348325760095,138.99303031895836618595,0.00000000000000000000,192131.23491015116885481595,304773.26508108839641364719,0.00000000000000000000,0.00000000000000000000,765.02283487668026649181220,390.07159908746478456555310,765.39954495885314430670870,428.21804140846040495262420,4361.90525747521854266919990,8578.33807121810522073623,30402.58203180460726388491,29010.57332816165600028805,1392.00870364295126359686,74500781.25307445946660136830,664.82834502096160573803,633.13273810710567924329,31.69560691385592649474,0.00000000000000000000
550,India,3,Punjab,737,Malerkotla,2020-21,28057.30375388089189979952,26859.42885892618820212045,19835.99412688372003114667,18.96540413697936585341,7004.46932790548880512037,16671.03137955906795889524,20347.54043846882100875440,16680.20283850168774318268,20344.68263784544055636553,8645.62628589588132698326,14959.37800357512465910086,17527.93042341899830180839,224.98684907704288806922,36.89160804727493083814,3206.19249937619663009497,101679.50697964981219512592,11746.88007024806347426002,378322.66112463440289447419,8.57340187014135716661,245.51105355404795522565,0.00000000000000000000,308973.97219740099047506892,480247.67915783826304482576,0.00000000000000000000,0.00000000000000000000,1249.23298449886386224891480,317.27562320826453371451910,1250.99183088252619521915570,768.90944372447768174067540,6794.30147406095691743852680,15821.04405109085537500149,30541.57506212356563007086,29145.92915768722106343362,1395.64590443634456663724,123709638.58814719222112856745,664.56854496429065552086,632.87293805043472902612,31.69560691385592649474,1366.54829808919814231420
551,India,5,Uttarakhand,45,Almora,2011-12,101530,101523,19156,55,82312,40097,45101,40090,45092,17438,39899,44818,619,18,33015,875914,6863,207031,21,1193,32,450526,1084138,162,0,1282.390,341.820,1283.190,342.560,8590.300,18202,38566,37190,1376,60235786,16623,16082,541,31308138
