Rowid,Country,State lgd code,State,District lgd code,District,Year,Households that applied for a job card,Job cards issued,Job cards issued for scheduled caste,Job cards issued for scheduled tribes,Job cards issued for non scheduled tribes or scheduled caste,Households that demanded work,Persons who demanded work,Households that were allotted work,Persons that were allotted work,Muster rolls filled,Households that worked under mahatma gandhi national rural employment guarantee act (mgnrega),Persons that worked under mahatma gandhi national rural employment guarantee act (mgnrega),Households that reached a 100 day limit,Persons with disability,Non scheduled tribes or scheduled caste houeholds that worked,Total person days worked by non scheduled tribes or scheduled caste persons.,Scheduled caste houeholds that worked,Total person days worked scheduled caste persons,Scheduled tribe houeholds that worked,Total person days worked scheduled tribe persons,Households that worked on land reform or indira awas yojana,Total person days worked by women,Total person days,Scheduled caste households that reached a 100 day limit,Scheduled tribe households that reached a 100 day limit,Labour expenditure that has been disbursed,Material expenditure that has been disbursed,Labour expenditure both disbursed and pending,Material expenditure both disbursed and pending,Amount sanctioned,Works under mahatma gandhi national rural employment guarantee act (mgnrega),Total bank accounts,Individual bank accounts,Joint bank accounts,Amount disbursed to bank accounts,Post office accounts,Individual post office accounts,Joint post office accounts,Amount disbursed to post office accounts
5961,India,29,Karnataka,529,Bidar,2011-12,206324,206289,51664,26293,128332,57247,138486,57242,138465,8072,57135,138206,617,480,34337,1133418,14999,422617,7799,234095,199,844614,1790130,132,56,3002.300,1444.340,3016.460,1466.150,324533.450,82962,57990,18422,39568,174784266,80619,38167,42452,218357432
5962,India,29,Karnataka,529,Bidar,2012-13,211305,211247,52254,26330,132663,41602,111150,41521,110840,7140,33147,86472,2148,445,20127,968667,8451,334680,4569,185971,50,685346,1489318,453,217,2280.900,1375.240,2293.800,1416.040,3823600.350,94788,79446,21744,57702,124700161,61236,29284,31952,62965200
5963,India,29,Karnataka,529,Bidar,2013-14,188989,188811,46821,24043,117947,48776,152786,48571,151927,17617,37713,112629,2616,325,24231,1273404,8991,403280,4491,211553,181,857057,1888237,486,280,3982.340,1723.150,4006.230,1758.660,21957824.450,161987,88587,24048,64539,361716173,47362,23942,23420,625656
5964,India,29,Karnataka,529,Bidar,2014-15,170572,170526,43238,22199,105089,42640,121107,41557,117819,12267,23256,67616,933,161,15111,681393,5499,205351,2646,104865,132,444608,991609,163,88,2492.230,1547.580,2504.580,1585.210,10287097.140,118149,97684,29759,67925,169629756,36742,19033,17709,0
5965,India,29,Karnataka,529,Bidar,2015-16,168983,168789,43065,22294,103430,47758,116892,46216,112718,16929,35460,85946,3926,181,21713,1121308,9160,405178,4587,208766,294,806991,1735252,847,422,3101.970,1934.960,3121.880,1968.030,6448739.630,105934,108355,38601,69754,283466050,18073,9646,8427,0
5966,India,29,Karnataka,529,Bidar,2016-17,135939,135531,34947,18786,81798,53498,130314,52276,126797,28602,43430,102710,2873,196,25316,1052432,12205,458769,5909,223782,659,842742,1734983,654,309,4249.740,2055.360,4279.580,2085.140,9893370.490,116027,141432,99760,41672,341305479,8757,5402,3355,0
5967,India,29,Karnataka,529,Bidar,2017-18,124522,123284,31709,17599,73976,47696,109668,46441,105757,33127,40126,88163,336,197,23139,941372,11148,422512,5839,234144,652,796252,1598028,70,64,3581.500,746.120,3626.710,798.850,15293703.560,127662,220586,207057,13529,310687553,10,10,0,0
5968,India,29,Karnataka,529,Bidar,2018-19,145586,144178,36732,20865,86581,62352,112576,60306,106178,41421,54206,94076,3462,180,31524,1417614,14260,569463,8422,345364,678,1237357,2332441,781,500,5162.890,1854.270,5221.150,1878.220,12553958.850,157399,256645,244272,12373,515712243,10,10,0,0
5969,India,29,Karnataka,529,Bidar,2019-20,167973,167832,42393,24436,101003,76273,133466,74488,127914,54533,68201,115069,332,204,40674,1886753,17382,703230,10145,455618,0,1611969,3045601,0,0,8083.770,3728.080,8116.580,3919.460,5701642.610,171254,339309,326222,13087,795740027,12,12,0,0
5970,India,29,Karnataka,529,Bidar,2020-21,212006,210143,53330,31320,125493,112718,200861,110944,194602,51851,102469,176547,7546,289,56482,2340823,29081,1188114,16906,710787,0,2280050,4239724,0,0,11256.580,3033.330,11375.400,4957.290,4032551.200,331083,349098,335728,13370,1110316178,15,13,2,0
5971,India,29,Karnataka,530,Vijayapura,2011-12,352082,352055,61696,4983,285376,85876,286780,85874,286777,20002,85560,285608,1429,285,69892,3073317,14391,640206,1277,57952,122,1754758,3771475,297,21,4633.850,3487.120,4658.190,3505.630,19609.320,93277,158603,23677,134926,553838180,40495,6502,33993,175029739
5972,India,29,Karnataka,530,Vijayapura,2012-13,260081,259794,42880,3740,213174,94383,351768,94380,351745,23515,85830,317915,11322,641,71073,3915305,13742,766488,1015,53460,301,2169968,4735253,1878,107,5839.770,3694.900,6784.140,5243.960,28164300.850,140453,176570,18923,157647,477199714,20969,3690,17279,41618843
5973,India,29,Karnataka,530,Vijayapura,2013-14,248028,247192,40963,3207,203022,87659,361365,87225,359610,16788,55984,224355,3281,424,46317,2286592,9012,455688,655,31755,200,1282942,2774035,557,43,7144.630,2663.750,7191.610,2890.390,39127059.900,213056,165842,18107,147735,637632224,14100,2723,11377,498790
5974,India,29,Karnataka,530,Vijayapura,2014-15,216344,216343,35456,2845,178042,67613,270504,66256,265168,19213,49513,196611,1781,299,40995,1706344,7871,324175,647,24726,253,942688,2055245,280,12,4800.630,3057.300,4852.760,3191.220,14959410.760,140281,165916,24101,141815,299184610,13246,2611,10635,0
6232,India,31,Lakshadweep,553,Lakshadweep District,2012-13,8493,8424,8,8321,95,1963,2076,1961,2074,597,1851,1945,40,14,26,943,2,38,1823,47781,0,14409,48762,0,39,95.870,12.490,95.870,12.490,1005.820,632,1253,1249,4,1801552,6470,6445,25,7765221
5975,India,29,Karnataka,530,Vijayapura,2015-16,218323,218321,35142,2728,180451,58649,185976,57046,180235,19266,43324,136991,6762,192,35986,2014389,6868,364578,470,26039,263,1086874,2405006,963,71,4380.820,2703.550,4422.600,2857.840,15851791.800,128657,187368,63530,123838,342483845,10061,1818,8243,0
5976,India,29,Karnataka,530,Vijayapura,2016-17,196907,196900,31363,2426,163111,77422,241968,75577,235486,34700,63166,190004,8454,249,52913,2700582,9559,467465,694,33703,663,1390008,3201750,1130,77,7794.740,4347.000,7853.150,4541.820,73941064.400,152901,200686,102733,97953,590280906,8112,1594,6518,0
5977,India,29,Karnataka,530,Vijayapura,2017-18,200074,200040,32002,2396,165642,71350,162932,67615,152237,27820,59440,129152,295,165,49687,2027375,9099,368877,654,26368,622,965356,2422620,44,1,5425.900,1228.580,5461.880,1676.160,42501938938.000,141836,269491,198402,71089,501037443,8334,1663,6671,0
5978,India,29,Karnataka,530,Vijayapura,2018-19,219316,219308,35208,2504,181596,78690,160039,74684,148447,35229,63127,121761,5777,170,52820,2390469,9693,429267,614,27543,648,1175622,2847279,833,60,6287.030,4140.960,6338.570,4282.070,42493960259.000,196398,344185,293647,50538,593751644,8130,1660,6470,0
5979,India,29,Karnataka,530,Vijayapura,2019-20,244111,243769,49178,3337,191254,103958,194561,98853,180465,41469,89270,158563,13117,259,71137,3971354,17099,896336,1034,57365,0,2061604,4925055,0,0,13070.010,6277.560,13097.350,6692.040,42486528980.000,211845,425132,379830,45302,1270656969,7711,1665,6046,0
5980,India,29,Karnataka,530,Vijayapura,2020-21,285522,285131,56534,3776,224821,120114,216416,114862,202545,60584,104286,180156,10470,277,84210,3995057,18883,850983,1193,57853,0,2093641,4903893,0,0,13231.500,4395.020,13387.430,7674.520,55435480.270,349194,441505,398306,43199,1301380899,7676,1684,5992,0
5981,India,29,Karnataka,531,Chamarajanagara,2011-12,103548,103507,20674,8049,74784,36319,92687,36316,92681,12108,36233,92380,2170,46,26488,1209485,7373,354270,2372,106486,27,754991,1670241,540,108,2012.940,1576.690,2014.130,1577.800,22054.000,49556,29507,10093,19414,85915163,60858,31814,29044,148916367
5982,India,29,Karnataka,531,Chamarajanagara,2012-13,114417,114356,22868,8617,82871,26421,65879,26341,65635,6914,23705,57909,859,51,16411,586615,5603,193814,1691,55987,99,381689,836416,231,56,1235.760,983.940,1297.310,1041.900,3581728.740,35648,59896,15293,44603,85967476,37418,20501,16917,24033625
5983,India,29,Karnataka,531,Chamarajanagara,2013-14,129339,129268,25470,9703,94095,40600,117345,40407,116588,17409,35357,99866,2800,118,25158,1221717,7919,370835,2280,111697,100,797521,1704249,695,214,2546.500,1682.250,2631.120,1770.510,8132884.210,79300,67460,16744,50716,252134606,35049,19309,15740,482197
5984,India,29,Karnataka,531,Chamarajanagara,2014-15,131404,131352,26267,10025,95060,28179,79414,27159,76025,11458,21951,60497,1423,126,14283,616107,6078,266360,1590,69429,56,435683,951896,441,75,2402.070,2207.930,2409.210,2222.710,4450814.300,68032,78691,20795,57896,217609413,32534,17970,14564,0
5985,India,29,Karnataka,531,Chamarajanagara,2015-16,140424,140231,27892,11450,100889,37275,90385,35898,86593,17993,28354,68327,2587,167,19372,927899,6934,330559,2048,87899,68,628692,1346357,675,129,2466.470,1869.970,2483.980,1889.450,10680444.720,71814,101438,34569,66869,237085532,25629,14592,11037,0
5986,India,29,Karnataka,531,Chamarajanagara,2016-17,142747,142157,28790,11396,101971,47116,115641,45708,111116,36177,39137,92813,2215,225,26797,1242349,9062,424437,3278,145978,131,859942,1812764,571,157,4315.960,2512.570,4350.600,2553.380,22437137.820,89106,129340,86111,43229,355535509,22684,13177,9507,0
5987,India,29,Karnataka,531,Chamarajanagara,2017-18,150290,148417,29801,11822,106794,50942,112155,49575,107448,43305,45781,97110,356,121,31827,1487370,10532,474860,3422,144663,116,1017487,2106893,72,29,4776.810,1361.670,4822.390,1449.910,28534039.740,113079,200725,188634,12091,450198226,21404,12506,8898,0
5988,India,29,Karnataka,531,Chamarajanagara,2018-19,160449,158587,31288,12719,114580,52696,104476,51298,99247,53137,47452,90188,1151,224,33640,1520642,10241,443702,3571,153490,87,1051614,2117834,170,76,4738.130,2392.170,4774.990,2442.010,16338850.850,132142,224644,213418,11226,477270568,20725,12166,8559,0
5989,India,29,Karnataka,531,Chamarajanagara,2019-20,171915,171901,44821,18422,108658,59458,112669,58173,107982,61592,55175,101069,1301,326,35818,1767209,14050,657657,5307,243552,0,1337773,2668418,0,0,7041.990,4531.110,7078.560,4635.220,5817072.490,130449,311073,299971,11102,694925241,18369,10783,7586,0
5990,India,29,Karnataka,531,Chamarajanagara,2020-21,208358,208144,52021,22119,134004,102343,185004,101234,180131,62983,96936,169278,1666,683,59762,2326738,26744,965893,10430,340473,0,1879182,3633104,0,0,9907.280,3901.360,10101.310,5936.180,5647327.350,233808,313597,302536,11061,973068758,18299,10734,7565,0
