scheme,variable,coefficient,p_value,ci_lower,ci_upper,significant_05
MGNREGA,state_lakshadweep,-4.896110309064033,0.7737622310959393,-38.27916078041744,28.486940162289372,False
MGNREGA,state_madhya pradesh,2.5990089817913646,0.6174633287324991,-7.600164932933781,12.79818289651651,False
MGNREGA,state_maharashtra,-1.1537395395283476,0.8211476624057628,-11.156379245554591,8.848900166497897,False
MGNREGA,state_manipur,-13.227799442565686,0.021100669001320238,-24.469779294009385,-1.9858195911219862,True
MGNREGA,state_meghalaya,-11.180035896849517,0.048976610590462245,-22.30992254002354,-0.05014925367549594,True
MGNREGA,state_mizoram,-14.004371773717857,0.019837198160576983,-25.78762556033309,-2.221117987102623,True
MGNREGA,state_nagaland,-12.076649278197698,0.039866693812968396,-23.594084536003763,-0.5592140203916323,True
MGNREGA,state_odisha,-0.7036463659360471,0.8955787607459715,-11.211362182943638,9.804069451071545,False
MGNREGA,state_puducherry,-1.723150884878661,0.738567145079158,-11.842399759192402,8.396097989435079,False
MGNREGA,state_punjab,3.786768293795347,0.5107782297476855,-7.4991678157208455,15.07270440331154,False
MGNREGA,state_rajasthan,0.47567545842136794,0.9278087551623831,-9.81444653926069,10.765797456103424,False
MGNREGA,state_sikkim,-7.28297911333939,0.21055983509907616,-18.68398787570724,4.118029649028459,False
MGNREGA,state_tamil nadu,-8.526221851382912,0.10052978812521032,-18.701697161553152,1.649253458787328,False
MGNREGA,state_telangana,-3.42021491197335,0.5140288396846987,-13.692558586224346,6.852128762277646,False
MGNREGA,state_tripura,-11.01055046665149,0.0427190239605384,-21.65987166216221,-0.3612292711407683,True
MGNREGA,state_uttar pradesh,5.58727146009269,0.34180952831693,-5.932713346247938,17.107256266433318,False
MGNREGA,state_uttarakhand,-1.0136804828459112,0.8478525457053145,-11.369075885353022,9.341714919661198,False
MGNREGA,state_west bengal,-4.8136561791631545,0.36294357664047183,-15.18395634385352,5.55664398552721,False
Health Insurance,const,151.02585613534183,4.902135514055303e-50,131.1242693211645,170.92744294951916,True
Health Insurance,literacy_rate,-0.14578300697301144,0.01325411538376456,-0.2611422101327366,-0.030423803813286285,True
Health Insurance,rural_pct,-0.0596911124801233,0.036856881749734484,-0.11573952912060514,-0.003642695839641448,True
Health Insurance,sc_pct,0.024997014462548407,0.670801846961776,-0.09026825876453046,0.14026228768962726,False
Health Insurance,st_pct,0.005449781608770793,0.8140346924113605,-0.03995955054647263,0.05085911376401421,False
Health Insurance,below_poverty_pct,-0.091121945788487,0.1940116689227691,-0.22862992940776838,0.04638603783079441,False
Health Insurance,institutional_births_pct,-0.06819180478478089,0.24047605427312324,-0.18205595550861758,0.045672345939055795,False
Health Insurance,electricity_pct,0.052884708778970224,0.16001889910998646,-0.020888625231251637,0.12665804278919207,False
Health Insurance,anc_4plus_pct,-0.12075027829055258,6.24728599564674e-05,-0.17986849410566114,-0.061632062475444026,True
Health Insurance,full_vaccination_pct,-0.13031231091596607,0.0015052958298785856,-0.21078954712382103,-0.04983507470811109,True
Health Insurance,worker_pct,-0.29044944117106575,0.0011622778391418955,-0.4657185596952935,-0.11518032264683797,True
Health Insurance,muslim_pct,0.022596866235214664,0.41297341375280794,-0.031501757654163645,0.07669549012459297,False
Health Insurance,sex_ratio,-0.0005699586998075179,0.9380373194684595,-0.014940201611885539,0.013800284212270503,False
Health Insurance,state_andhra pradesh,-73.81331124662739,4.4928235804664706e-238,-78.20418967153451,-69.42243282172028,True
Health Insurance,state_arunachal pradesh,-36.75943985126406,2.3774317522468893e-52,-41.491295847210665,-32.02758385531746,True
Health Insurance,state_assam,-66.11440186699448,3.8036972707157355e-199,-70.41829822353169,-61.810505510457276,True
Health Insurance,state_bihar,-23.30788973496005,2.176327381088196e-17,-28.692469076761338,-17.92331039315876,True
Health Insurance,state_chandigarh,-38.56642278614615,0.8485024447681041,-434.25808997496983,357.1252444026776,False
Health Insurance,state_chhattisgarh,-74.05463746532475,2.192400990042234e-231,-78.52366764934163,-69.58560728130786,True
Health Insurance,state_dadra and nagar haveli & daman and diu,-49.02095607536582,8.270795894800274e-06,-70.57281661860134,-27.46909553213029,True
Health Insurance,state_dadra and nagar haveli and daman and diu,-40.19690169091751,3.750381334146736e-58,-45.09761081370321,-35.2961925681318,True
Health Insurance,state_delhi,-32.4544455059477,3.2806324051669617e-26,-38.46044454419722,-26.448446467698187,True
Health Insurance,state_goa,-65.94892814043946,9.269143182894173e-114,-71.65112815448747,-60.24672812639147,True
Health Insurance,state_gujarat,-42.66643098738122,4.196784232107686e-136,-46.0342465742771,-39.29861540048534,True
Health Insurance,state_haryana,-31.41048186877184,2.084648323662111e-46,-35.7146013037131,-27.106362433830572,True
