state,district,cluster,cluster_label,mgnrega_gap_pct,health_insurance_gap_pct,combined_gap_score
jharkhand,pakur,0,High-gap Rural Low-literacy,16.15378592122778,47.5,31.82689296061389
jharkhand,palamu,1,Moderate-gap Rural,11.385276158277849,44.2,27.792638079138925
jharkhand,pashchimi singhbhum,0,High-gap Rural Low-literacy,20.18376595479302,53.3,36.74188297739651
jharkhand,purbi singhbhum,2,Moderate-gap Mixed,20.18376595479302,49.3,34.74188297739651
jharkhand,ramgarh,1,Moderate-gap Rural,17.01414414679331,50.3,33.657072073396655
jharkhand,ranchi,2,Moderate-gap Mixed,18.837427213707247,56.1,37.468713606853626
jharkhand,sahibganj,0,High-gap Rural Low-literacy,20.18376595479302,65.2,42.69188297739651
jharkhand,saraikelakharsawan,1,Moderate-gap Rural,20.18376595479302,36.9,28.54188297739651
jharkhand,simdega,1,Moderate-gap Rural,13.733867770779193,39.4,26.566933885389595
karnataka,bagalkot,0,High-gap Rural Low-literacy,12.471617725846366,77.7,45.08580886292319
karnataka,ballari,0,High-gap Rural Low-literacy,8.358550446527419,74.3,41.32927522326371
karnataka,belagavi,0,High-gap Rural Low-literacy,10.393053187702568,79.3,44.84652659385128
karnataka,bengaluru,2,Moderate-gap Mixed,12.471617725846366,71.2,41.83580886292319
karnataka,bengaluru rural,2,Moderate-gap Mixed,11.32681306514117,65.1,38.21340653257058
karnataka,bidar,0,High-gap Rural Low-literacy,10.583037247780998,78.6,44.591518623890494
karnataka,bijapur,0,High-gap Rural Low-literacy,12.471617725846366,78.8,45.635808862923184
karnataka,chamarajanagar,0,High-gap Rural Low-literacy,12.471617725846366,65.6,39.03580886292318
karnataka,chikkaballapura,0,High-gap Rural Low-literacy,11.187800963081862,73.9,42.54390048154093
karnataka,chikkamagaluru,2,Moderate-gap Mixed,6.566009942920273,70.0,38.28300497146014
karnataka,chitradurga,3,Moderate-gap Mixed,7.0971103362590675,64.7,35.89855516812953
karnataka,dakshina kannada,2,Moderate-gap Mixed,3.505984926850894,63.7,33.60299246342545
karnataka,davanagere,2,Moderate-gap Mixed,12.471617725846366,74.8,43.635808862923184
karnataka,dharwad,2,Moderate-gap Mixed,10.152771715408118,75.5,42.82638585770406
karnataka,gadag,2,Moderate-gap Mixed,9.172157661435246,71.7,40.436078830717626
karnataka,hassan,2,Moderate-gap Mixed,9.711643926891025,63.1,36.40582196344551
karnataka,haveri,0,High-gap Rural Low-literacy,12.471617725846366,71.2,41.83580886292319
karnataka,kalaburagi,0,High-gap Rural Low-literacy,13.229480764100533,82.6,47.91474038205026
karnataka,kodagu,2,Moderate-gap Mixed,10.40886002165043,54.4,32.404430010825216
karnataka,kolar,2,Moderate-gap Mixed,9.512136173738908,66.1,37.80606808686945
karnataka,koppal,0,High-gap Rural Low-literacy,9.001409043497356,79.4,44.20070452174868
karnataka,mandya,1,Moderate-gap Rural,9.028353845107771,60.1,34.564176922553884
karnataka,mysuru,2,Moderate-gap Mixed,9.261688530104271,73.8,41.53084426505213
karnataka,raichur,0,High-gap Rural Low-literacy,6.185200086657795,82.2,44.1926000433289
karnataka,ramanagara,2,Moderate-gap Mixed,5.816339617801718,64.3,35.05816980890086
karnataka,shivamogga,2,Moderate-gap Mixed,10.300708326134897,73.5,41.90035416306745
karnataka,tumakuru,2,Moderate-gap Mixed,10.108231982078637,69.0,39.55411599103932
karnataka,udupi,2,Moderate-gap Mixed,11.462230358990686,49.1,30.281115179495345
karnataka,uttara kannada,2,Moderate-gap Mixed,10.966275455768427,68.0,39.48313772788421
karnataka,yadgir,0,High-gap Rural Low-literacy,8.730227959990696,83.3,46.01511397999535
kerala,alappuzha,2,Moderate-gap Mixed,4.3266844625682435,39.6,21.963342231284123
kerala,ernakulam,2,Moderate-gap Mixed,10.260216359669839,53.8,32.03010817983492
kerala,idukki,1,Moderate-gap Rural,7.121692127712263,41.9,24.510846063856132
kerala,kannur,2,Moderate-gap Mixed,10.605705091677002,52.1,31.352852545838502
kerala,kasaragod,2,Moderate-gap Mixed,11.709617340536543,56.0,33.85480867026827
kerala,kollam,2,Moderate-gap Mixed,15.688079311011965,44.0,29.84403965550598
kerala,kottayam,2,Moderate-gap Mixed,11.064965029922849,46.8,28.93248251496142
kerala,kozhikode,2,Moderate-gap Mixed,8.192436653241758,38.9,23.546218326620878
kerala,malappuram,2,Moderate-gap Mixed,14.890125988866101,57.2,36.04506299443305
kerala,palakkad,2,Moderate-gap Mixed,7.214611325094795,46.2,26.707305662547398
kerala,pathanamthitta,2,Moderate-gap Mixed,7.1761616378155315,49.9,28.538080818907765
kerala,thiruvananthapuram,2,Moderate-gap Mixed,8.115627727380922,51.3,29.70781386369046
kerala,thrissur,2,Moderate-gap Mixed,10.33048373644704,51.3,30.815241868223517
kerala,wayanad,1,Moderate-gap Rural,10.909520713905797,35.2,23.0547603569529
ladakh,kargil,0,High-gap Rural Low-literacy,0.7710395362826051,86.4,43.5855197681413
ladakh,leh,0,High-gap Rural Low-literacy,0.7710395362826051,83.8,42.2855197681413
lakshadweep,lakshadweep,3,Moderate-gap Mixed,11.038350670510088,39.9,25.469175335255045
madhya pradesh,agar malwa,1,Moderate-gap Rural,11.685242379481672,41.1,26.392621189740836
madhya pradesh,alirajpur,0,High-gap Rural Low-literacy,16.603131129945595,57.5,37.0515655649728
madhya pradesh,anuppur,1,Moderate-gap Rural,8.121311956313255,47.2,27.66065597815663
madhya pradesh,ashoknagar,0,High-gap Rural Low-literacy,7.0860810912464585,65.8,36.44304054562323
madhya pradesh,balaghat,1,Moderate-gap Rural,8.100848484848484,31.599999999999994,19.85042424242424
madhya pradesh,barwani,0,High-gap Rural Low-literacy,15.274553320310503,70.8,43.03727666015525
madhya pradesh,betul,1,Moderate-gap Rural,18.94600177889995,48.7,33.82300088944998
madhya pradesh,bhind,0,High-gap Rural Low-literacy,11.331795231885513,69.0,40.165897615942754
madhya pradesh,bhopal,2,Moderate-gap Mixed,7.957191474117859,49.3,28.628595737058927
madhya pradesh,burhanpur,0,High-gap Rural Low-literacy,15.510680088386938,57.8,36.655340044193466
madhya pradesh,chhatarpur,0,High-gap Rural Low-literacy,19.96530985077078,82.9,51.43265492538539
madhya pradesh,chhindwara,1,Moderate-gap Rural,13.642014615361289,51.5,32.571007307680645
madhya pradesh,damoh,0,High-gap Rural Low-literacy,23.39297548045063,78.4,50.89648774022532
madhya pradesh,datia,0,High-gap Rural Low-literacy,20.079187902784213,69.1,44.589593951392104
madhya pradesh,dewas,0,High-gap Rural Low-literacy,20.272957691557806,64.9,42.586478845778906
madhya pradesh,dhar,0,High-gap Rural Low-literacy,15.264045825486502,69.7,42.482022912743254
madhya pradesh,dindori,3,Moderate-gap Mixed,6.203116163154199,52.8,29.501558081577098
madhya pradesh,guna,0,High-gap Rural Low-literacy,27.94181961824415,56.9,42.42090980912207
madhya pradesh,gwalior,2,Moderate-gap Mixed,11.334054967394461,59.4,35.36702748369723
madhya pradesh,harda,0,High-gap Rural Low-literacy,12.484744383673101,66.7,39.59237219183655
madhya pradesh,hoshangabad,0,High-gap Rural Low-literacy,24.066167190311234,71.4,47.73308359515562
madhya pradesh,indore,2,Moderate-gap Mixed,14.201487812598923,59.7,36.950743906299465
madhya pradesh,jabalpur,2,Moderate-gap Mixed,14.72210564182505,38.8,26.761052820912525
madhya pradesh,jhabua,0,High-gap Rural Low-literacy,13.270777479892763,56.3,34.78538873994638
madhya pradesh,katni,0,High-gap Rural Low-literacy,10.412788218531269,81.9,46.156394109265634
madhya pradesh,khandwa (east nimar),0,High-gap Rural Low-literacy,15.190872084543273,61.9,38.54543604227163
madhya pradesh,khargone (west nimar),0,High-gap Rural Low-literacy,15.190872084543273,56.3,35.745436042271635
madhya pradesh,mandla,3,Moderate-gap Mixed,9.41934212902414,57.4,33.40967106451207
madhya pradesh,mandsaur,1,Moderate-gap Rural,13.31295707028415,51.6,32.456478535142075
madhya pradesh,morena,1,Moderate-gap Rural,6.5250215703192405,63.7,35.11251078515962
madhya pradesh,narsimhapur,1,Moderate-gap Rural,15.190872084543273,50.6,32.89543604227164
madhya pradesh,neemuch,0,High-gap Rural Low-literacy,16.595605116431617,56.7,36.64780255821581
